PRI,timestamp,platform_lat,platform_lon,frequency,pulse_width,aoa,df_quality
2002,2025-01-01T12:30:00Z,20,25,1.812,15,91.79,1
2010,2025-01-01T12:30:01Z,20.0017,25,1.812,10,79.5,5
2009,2025-01-01T12:30:02Z,20.0032,25,1.809,11,89.43,7
2010,2025-01-01T12:30:03Z,20.0075,25,1.813,10,91.96,1
2004,2025-01-01T12:30:04Z,20.0247,25,1.806,15,57.48,9
2001,2025-01-01T12:30:05Z,20.0284,25,1.814,13,95.34,7
2002,2025-01-01T12:30:06Z,20.0314,25,1.804,14,67.8,8
2005,2025-01-01T12:30:07Z,20.0354,25,1.805,14,90.33,4
2004,2025-01-01T12:30:08Z,20.0365,25,1.811,13,90.61,2
2007,2025-01-01T12:30:09Z,20.0385,25,1.807,14,89.35,3
2006,2025-01-01T12:30:10Z,20.0391,25,1.808,12,98.25,8
2005,2025-01-01T12:30:11Z,20.0413,25,1.815,15,87.8,3
2004,2025-01-01T12:30:12Z,20.0414,25,1.815,10,74.9,6
2009,2025-01-01T12:30:13Z,20.0437,25,1.805,12,87.66,4
2010,2025-01-01T12:30:14Z,20.0447,25,1.81,12,92.29,1
2006,2025-01-01T12:30:15Z,20.0517,25,1.807,12,88.61,7
2010,2025-01-01T12:30:16Z,20.0531,25,1.801,13,89.57,3
2009,2025-01-01T12:30:17Z,20.0539,25,1.801,10,78.75,7
2001,2025-01-01T12:30:18Z,20.0547,25,1.811,14,87.89,4
2004,2025-01-01T12:30:19Z,20.0568,25,1.812,10,83.31,5
2009,2025-01-01T12:30:20Z,20.0588,25,1.804,12,88.75,5
2002,2025-01-01T12:30:21Z,20.0607,25,1.801,12,82.49,5
2006,2025-01-01T12:30:22Z,20.061,25,1.813,10,85.18,4
2009,2025-01-01T12:30:23Z,20.0671,25,1.811,13,88.92,7
2010,2025-01-01T12:30:24Z,20.0706,25,1.812,13,93.37,1
2009,2025-01-01T12:30:25Z,20.0708,25,1.812,10,92.88,1
